# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1962688765
# chain_id=3
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,scale,boltzman_shift
-2.78823e+19,1,8.13715e-12,1,1,0,6.15841e+19,0.229992,0.620857,0.149151,3.94772,93.3626
-1.07933e+19,1,1.29955e-11,1,1,0,2.35264e+19,0.229992,0.620857,0.149151,3.94772,93.9152
-4.24456e+18,1,2.05917e-11,2,3,0,9.1349e+18,0.229992,0.620857,0.149151,3.94772,94.4586
-1.69484e+18,1,3.23807e-11,3,7,0,3.60308e+18,0.229992,0.620857,0.149151,3.94772,94.9931
-6.8678e+17,1,5.05464e-11,7,127,0,1.44289e+18,0.229992,0.620857,0.149151,3.94772,95.5191
-2.82283e+17,1,7.83454e-11,1,1,0,5.86354e+17,0.229992,0.620857,0.149151,3.94772,96.0367
-1.17631e+17,1,1.20604e-10,1,1,0,2.41676e+17,0.229992,0.620857,0.149151,3.94772,96.5464
-4.96738e+16,1,1.84432e-10,1,1,0,1.00983e+17,0.229992,0.620857,0.149151,3.94772,97.0484
-2.12476e+16,1,2.80242e-10,3,7,0,4.27563e+16,0.229991,0.620857,0.149151,3.94772,97.5428
-9.20207e+15,1,4.23201e-10,5,31,0,1.83359e+16,0.229991,0.620857,0.149151,3.94772,98.0301
-4.03345e+15,1,6.35281e-10,4,15,0,7.96101e+15,0.229991,0.620857,0.149151,3.94772,98.5103
-1.78861e+15,1,9.48149e-10,4,15,0,3.49802e+15,0.229991,0.620857,0.149151,3.94772,98.9838
-8.02118e+14,1,1.40721e-09,1,1,0,1.55487e+15,0.229991,0.620857,0.149151,3.94772,99.4507
-3.63656e+14,1,2.07728e-09,2,3,0,6.98917e+14,0.229991,0.620857,0.149151,3.94772,99.9113
-1.66619e+14,1,3.0504e-09,6,63,0,3.17585e+14,0.229991,0.620857,0.149151,3.94772,100.366
-7.71252e+13,1,4.45672e-09,4,15,0,1.45831e+14,0.229991,0.620857,0.149151,3.94772,100.814
-3.60554e+13,1,6.47949e-09,2,3,0,6.76474e+13,0.229991,0.620857,0.149151,3.94772,101.257
-1.70183e+13,1,9.37557e-09,6,63,0,3.16907e+13,0.229991,0.620857,0.149151,3.94772,101.694
-8.10793e+12,1,1.35036e-08,1,1,0,1.49886e+13,0.229991,0.620857,0.149151,3.94772,102.126
-3.89791e+12,1,1.93623e-08,4,15,0,7.15505e+12,0.229991,0.620857,0.149151,3.94772,102.552
-1.89046e+12,1,2.76424e-08,2,3,0,3.44644e+12,0.229991,0.620857,0.149151,3.94772,102.974
-9.24714e+11,1,3.92972e-08,1,1,0,1.67464e+12,0.229991,0.620857,0.149151,3.94772,103.39
-4.5609e+11,1,5.56377e-08,1,1,0,8.20647e+11,0.229991,0.620857,0.149151,3.94772,103.802
-2.26778e+11,1,7.84597e-08,1,1,0,4.05484e+11,0.229991,0.620857,0.149151,3.94772,104.208
-1.1365e+11,1,1.10216e-07,1,1,0,2.01967e+11,0.229991,0.620857,0.149151,3.94772,104.611
-5.73967e+10,1,1.54244e-07,1,1,0,1.01388e+11,0.229991,0.620857,0.149151,3.94772,105.009
-2.92073e+10,1,2.15071e-07,3,7,0,5.12897e+10,0.229991,0.620857,0.149151,3.94772,105.402
-1.49755e+10,1,2.98821e-07,4,15,0,2.61428e+10,0.229991,0.620857,0.149151,3.94772,105.791
-7.73752e+09,1,4.13747e-07,4,15,0,1.34263e+10,0.229991,0.620857,0.149151,3.94772,106.177
-4.03032e+09,1,5.70943e-07,1,1,0,6.94875e+09,0.229991,0.620857,0.149151,3.94772,106.558
-2.11819e+09,1,7.85279e-07,2,3,0,3.62589e+09,0.229991,0.620857,0.149151,3.94772,106.935
