# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1332303752
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,scale,boltzman_shift
-9.69631e+86,1,9.59231e-46,2,3,0,2.8442e+87,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,32.289
-2.67836e+86,1,1.78579e-45,1,1,0,7.75043e+86,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,33.0381
-7.53685e+85,1,3.29742e-45,1,1,0,2.14599e+86,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,33.7764
-2.16478e+85,1,6.03207e-45,2,3,0,6.05528e+85,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,34.5027
-6.35379e+84,1,1.09245e-44,3,7,0,1.74441e+85,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,35.2165
-1.90675e+84,1,1.95801e-44,1,1,0,5.13613e+84,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,35.9173
-5.85162e+83,1,3.47241e-44,1,1,0,1.5464e+84,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,36.6051
-1.83629e+83,1,6.09315e-44,2,3,0,4.76177e+83,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,37.2799
-5.89063e+82,1,1.058e-43,4,15,0,1.49941e+83,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,37.9419
-1.9309e+82,1,1.81818e-43,1,1,0,4.82661e+82,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,38.5913
-6.46423e+81,1,3.09305e-43,1,1,0,1.58762e+82,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,39.2285
-2.20895e+81,1,5.21011e-43,2,3,0,5.33338e+81,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,39.8537
-7.70032e+80,1,8.69232e-43,2,3,0,1.82878e+81,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,40.4673
-2.73664e+80,1,1.43674e-42,1,1,0,6.39675e+80,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,41.0696
